FullName,FirstName,LastName,Gender,Status,Region,Ethnicity,Occupation_primary,MaritalStatus,Spouse_FirstName,Spouse_Last Name,Spouse_Gender,Spouse_RaceEthnicity,Spouse_Birthday,Spouse_Age,Spouse_Occupation,Street,City,State,ZipCode,Religion_Christian,Religion_Muslim,Religion_Jewish,Religion_Hindu,Religion_Buddhist,Religion_Other,Religion_Spiritual,Religion_None,RoleofFaith_primary,RoleofFaith_spouse,Alcohol_Occasional,Alcohol_Responsible,Alcohol_Irresponsible,DrugUse,Marijuana_Occasional,Marijuana_Regular,Cigarettes_Occasional,Cigarettes_Regular,Vaping_Occasional,Vaping_Regular,JobRetentionChallenges,DayOff_primary,DayOff_spouse,FavoritPlace_primary,FavoritePlace_spouse,Personality_primary,Personality_spouse,SocialStyle_Introverted,SocialStyle_Extraverted,SocialStyle_Both,SadnessResponse_primary,SadnessResponse_spouse,AngerResponse_primary,Anger Response_spouse,Continuing Education,Supports_Holidays,Supports_Job,Supports_Parenting,Supports_Medical,Supports_Legal,Supports_Budgeting,Supports_MentalHealth,Supports_Resources,Supports_Social,Multiple_Matches,Match_Housing,Emergency_Housing,CriminalHistory_Arrested,CriminalHistory_Jail,CriminalHistory_CurrentProbation,Children_Pregnant,Children_Custody1,Children_Custodymultiple,Children_Kincare1,Children_Kincaremultiple,Children_Welfare1,Children_Welfaremultiple,Bio_Important,Bio_Difficult,Sexuality_Heterosexual,Sexuality_Homosexual,Sexuality_Bisexual,Gender_Male,Gender_Female,Gender_Transgender,Gender_Non_binary,Latitude ,Logatitude
Jose & Alice Buckner,Alice,Buckner,Female,Completed Training,14,,Train dispatcher,Married,Jose,,,Unknown,9/12/1979,42,Photographic equipment repairer,186 Rio Cir,Decatur,Georgia,30030,5,5,5,5,3,2,4,2,Exclusive,Exclusive,5,5,1,1,5,3,3,5,0,2,4,Friends/Family,Home,Nature,Nature,Friendly,Adventurous,3,2,5,Advice,Alone,Process,React,3,5,5,5,5,4,4,2,5,4,checked,checked,,1,1,5,5,3,0,0,1,4,5,5,0,5,5,4,5,5,4,1,33.779756,-84.269606
Jose & Eunice Williams,Eunice,Williams,Female,Awaiting Training,5,,Employee assistance plan manager,Married,Jose,,,Mixed Race,2/16/1967,54,Card puncher,3924 Mount Olive Road,Loganville,Georgia,30052,5,4,3,3,4,5,4,4,Inclusive,Unimportant,5,5,0,2,1,3,2,5,3,1,2,Read/Walk,Home,None,New,Reserved,Adventurous,5,4,3,Advice,Alone,Reconcile,React,5,4,5,4,5,4,4,4,5,5,,checked,,3,1,2,3,5,5,5,0,3,4,5,5,5,1,0,4,4,3,4,,
Jose & Maureen Wells,Maureen,Wells,Female,Interested,5,,Horse breeder,Married,Jose,,,,1/16/1957,65,Recruiting manager,1145 Washington St SW,Covington,Georgia,30014,5,5,3,3,4,5,3,4,Inclusive,Unimportant,5,4,5,3,3,0,5,4,1,5,3,Movie/Play,Friends/Family,None,Pampered,Reserved,Shy,3,5,3,Alone,Listen,Reconcile,Reconcile,5,5,5,4,3,5,5,4,4,2,checked,,checked,2,4,5,5,3,1,5,2,2,4,5,0,5,0,5,3,5,2,3,33.595903,-83.860867
Josefina Valentine,Josefina,Valentine,Female,OOS,4,,New accounts clerk,Single,,,,,,,,301 N Center St Suite 1,Thomaston,Georgia,30286,5,4,4,4,4,3,4,4,Inclusive,,5,0,0,0,5,3,2,5,4,0,4,Movie/Play,,New,,Friendly,,1,4,4,Advice,,Withdraw,,4,4,5,5,4,4,5,5,2,4,checked,checked,checked,2,2,0,3,5,0,1,2,4,4,3,2,5,4,5,5,4,5,2,32.891295,-84.326676
Joseph & Doris Berry,Doris,Berry,Female,Interested,8,,"Textile winding, twisting, and drawing out machine operator",Married,Joseph,,,,4/29/1956,65,Industrial_organizational psychologist,1050 Bay Ave,Columbus,Georgia,31901,5,4,4,3,3,3,4,4,Unimportant,Unimportant,5,2,5,2,1,3,5,3,4,0,5,Home,Movie/Play,Pampered,None,Friendly,Reserved,4,4,3,Listen,Listen,Process,Reconcile,5,4,5,0,4,4,4,4,4,4,,,,0,0,0,3,5,2,3,4,1,5,5,0,5,5,4,5,4,4,1,32.466511,-84.995275
Joseph & Elizabeth Rita,Elizabeth,Rita,Female,Matched,4,,Stonemason,Married,Joseph,,,White,1/28/1975,47,Dance captain,2174 GA_20,McDonough,Georgia,30253,5,3,3,5,5,5,3,5,Exclusive,Exclusive,5,5,1,2,5,0,3,3,5,2,3,Read/Walk,Friends/Family,Pampered,Pampered,Shy,Friendly,3,5,5,Alone,Listen,Reconcile,React,3,5,4,4,4,3,2,5,5,4,checked,,,4,1,3,4,4,4,2,4,3,5,0,1,5,5,4,3,5,4,0,33.485987,-84.090795
Joseph & Evelyn Foster,Evelyn,Foster,Female,Matched_Current,2,,Aircraft rigging assembler,Married,Joseph,,,White,11/2/1987,34,Housekeeper,4037 Winder Hwy Suite 500,Flowery Branch,Georgia,30542,5,1,0,1,4,4,3,1,Exclusive,Inclusive,5,5,2,1,3,2,5,4,5,3,4,Shop,Movie/Play,None,Event,Friendly,Friendly,3,3,5,Alone,Alone,Reconcile,Process,5,3,5,2,5,2,4,5,4,5,checked,checked,,2,0,3,5,4,3,5,3,2,4,4,2,5,5,2,5,4,0,3,34.195184,-83.857698
Joseph Price,Joseph,Price,Male,Matched_Current,13,African American,Account clerk,Single,,,,,,,,4300 GA_20,Buford,Georgia,30518,5,3,5,2,3,3,4,4,Exclusive,,5,5,1,4,5,3,4,1,4,5,3,Friends/Family,,Pampered,,Adventurous,,3,3,3,Advice,,Process,,5,3,5,5,5,5,5,4,4,2,checked,,,4,3,0,4,1,3,5,3,3,5,3,2,5,5,5,4,5,2,1,34.093147,-84.010959
Josephine Curran,Josephine,Curran,Female,Certified,1,African American,Translator,Single,,,,,,,,28 Camp Rd Ext # 103,Jasper,Georgia,30143,5,3,3,2,5,3,3,4,Inclusive,,5,1,0,2,5,2,3,0,1,5,3,Movie/Play,,Pampered,,Reserved,,5,4,3,Listen,,React,,5,2,4,4,5,5,5,5,4,4,,checked,checked,0,2,0,3,3,3,5,0,1,2,1,5,5,1,3,5,3,5,1,34.452143,-84.441886
Josephine Jacobson,Josephine,Jacobson,Female,RM Declined,8,,General maintenance and repair worker,Single,,,,,,,,4403 17th Ave,Columbus,Georgia,31904,5,5,5,4,3,1,3,4,Inclusive,,5,4,1,0,3,4,2,0,5,3,4,Friends/Family,,None,,Solitary,,5,3,5,Advice,,Process,,4,5,4,4,4,4,5,4,5,5,checked,checked,,3,2,0,3,3,1,4,0,0,2,4,0,5,4,4,4,4,1,1,32.506187,-84.966804
Joyce Kerr,Joyce,Kerr,Female,FSS,2,,Biometrician,,,,,,,,,3429 Oakridge Lane,Cumming,Georgia,30028,5,0,3,3,3,0,2,3,Unimportant,,5,5,0,1,3,1,5,5,5,1,3,Friends/Family,,Pampered,,Shy,,4,5,3,Listen,,Reconcile,,0,4,5,0,4,4,4,4,5,5,,,checked,0,3,1,2,1,5,5,4,5,4,0,3,4,5,0,4,5,1,0,,
Juan Morgan,Juan,Morgan,Male,Interested,12,,Vascular sonographer,,,,,,,,,711 GA_30,Port Wentworth,Georgia,31407,5,3,5,4,0,5,4,3,Inclusive,,5,5,4,5,0,5,5,4,5,4,5,Read/Walk,,Event,,Solitary,,5,4,5,Listen,,React,,3,5,4,5,5,5,2,2,4,5,checked,,,5,0,4,2,4,4,4,3,3,5,2,3,5,4,4,4,5,3,5,32.191729,-81.225227
Julia Griffin,Julia,Griffin,Female,Interested,4,,Community planner,,,,,,,,,1257 N Peachtree Pkwy,Peachtree City,Georgia,30269,5,5,5,5,4,4,1,4,Exclusive,,5,4,4,1,3,0,5,0,5,4,4,Home,,Event,,Reserved,,4,4,5,Advice,,Reconcile,,4,5,5,5,4,5,5,4,5,4,,checked,,3,1,5,5,4,1,2,5,0,4,0,1,5,1,5,4,4,1,5,33.43854,-84.591145
Julian & Barbara Gray,Julian,Gray,Male,Matched,13,African American,Placement officer,Married,Barbara,,,Black/African American,9/2/1966,55,Cashier,2041 Emma Street,Lilburn,Georgia,30047,5,0,4,4,5,0,4,3,Exclusive,Inclusive,5,4,1,3,2,5,3,5,5,5,5,Friends/Family,Friends/Family,Pampered,Event,Friendly,Reserved,4,3,4,Advice,Alone,React,React,2,4,5,4,5,5,4,4,4,4,,checked,checked,0,4,5,5,0,5,2,4,4,3,1,2,4,5,2,5,4,5,3,,
Julie Stallings,Julie,Stallings,Female,Interested,11,,Paramedic,,,,,,,,,3310 Inner Perimeter Rd,Valdosta,Georgia,31602,5,3,0,4,5,3,1,5,Unimportant,,5,4,0,0,0,5,5,5,5,1,4,Home,,Pampered,,Friendly,,4,0,4,Advice,,Withdraw,,2,4,4,4,4,4,5,5,5,5,,,checked,0,1,0,1,2,1,3,3,5,1,5,2,5,4,4,5,4,2,5,30.881118,-83.285635
Junior Maclachlan & Kelly Null,Kelly,Null,Female,Matched,13,,Sketch artist,Married,Junior,Maclachlan,,White,7/30/1970,51,Laboratory animal technician,4420 Kuhl Avenue,Buford,Georgia,30519,5,4,5,5,3,2,4,2,Inclusive,Unimportant,5,5,0,1,5,3,5,4,0,0,3,Home,Shop,None,Event,Adventurous,Adventurous,3,5,5,Advice,Advice,Withdraw,React,2,5,2,5,5,4,4,4,5,4,checked,,checked,1,0,3,0,1,5,1,0,5,5,0,2,5,1,4,4,4,2,4,,
Justin & Sherry Kish,Justin,Kish,Male,Interested,1,,Clerical worker supervisor,Married,Sherry,,,,9/9/1980,41,Information specialist,5704 Clear Creek Rd,Ellijay,Georgia,30536,5,4,5,3,4,3,1,1,Inclusive,Inclusive,5,5,1,5,3,2,4,4,0,3,5,Read/Walk,Friends/Family,None,New,Solitary,Solitary,5,5,5,Alone,Listen,Process,Process,5,4,5,5,4,5,4,5,5,4,checked,checked,checked,3,0,3,4,4,5,0,4,5,5,1,3,5,5,4,5,5,5,4,34.613974,-84.39299
Karen Cain,Karen,Cain,Female,Interested,14,,Accounts receivable clerk,,,,,,,,,7046 Covington Hwy B,Lithonia,Georgia,30058,5,4,4,3,3,3,3,5,Inclusive,,5,5,4,5,0,5,5,3,5,3,5,Movie/Play,,Pampered,,Adventurous,,3,3,4,Listen,,Reconcile,,4,4,5,4,5,5,5,5,5,4,checked,,,2,0,2,2,5,0,5,4,0,3,1,3,5,4,2,5,5,2,4,33.717067,-84.130668
Karen Rivera,Karen,Rivera,Female,Not Moving Forward,13,,Credit authorizer,,,,,,,,,5450 Peachtree Pkwy suite 7A,Norcross,Georgia,30092,5,4,4,4,4,2,1,0,Unimportant,,5,5,5,5,2,4,4,4,5,1,5,Movie/Play,,New,,Reserved,,4,3,2,Alone,,Withdraw,,2,4,4,4,5,4,1,5,5,5,,checked,,1,4,0,5,0,5,5,4,5,0,1,1,5,4,1,4,5,4,2,33.970627,-84.21905
Katherine Rule,Katherine,Rule,Female,Interested,8,,Pilot,Single,,,,,,,,2424 Woodruff Farm Rd #2c,Columbus,Georgia,31907,5,5,3,5,1,2,4,5,Inclusive,,5,4,3,4,4,4,5,3,2,1,5,Movie/Play,,Event,,Solitary,,3,4,5,Listen,,Reconcile,,4,5,5,5,4,4,1,4,4,5,,,checked,4,4,1,5,4,5,4,3,5,2,2,5,3,0,3,5,4,5,4,32.482791,-84.896931
Kathleen Colella,Kathleen,Colella,Female,Matched_Current,4,African American,Milling and planing machine operator,Single,,,,,,,,11355 Tara Blvd,Hampton,Georgia,30228,5,5,5,4,5,4,4,4,Inclusive,,5,4,1,1,0,5,4,1,5,4,5,Shop,,Event,,Adventurous,,4,3,5,Advice,,Withdraw,,5,4,4,5,4,5,4,5,5,5,,checked,checked,0,4,1,1,3,1,5,1,2,5,3,1,5,5,5,1,5,3,0,33.444883,-84.325505
Kathleen Herman,Kathleen,Herman,Female,Awaiting Training,7,,Bricklayer,Single,,,,,,,,2111 Kings Way,Augusta,Georgia,30904,5,5,3,4,5,4,3,5,Inclusive,,5,2,5,2,3,2,4,4,3,5,1,Home,,Nature,,Friendly,,5,4,3,Alone,,Reconcile,,5,5,0,4,5,5,4,5,5,4,,,,1,0,0,2,3,5,3,3,4,5,0,0,5,3,4,4,4,4,4,33.47072,-82.012592
Kathryn Morgan,Kathryn,Morgan,Female,Interested,12,,Gaming machine servicer,,,,,,,,,200 Tanger Outlets Blvd Suite 200,Pooler,Georgia,31322,5,3,5,5,0,0,4,4,Inclusive,,5,5,3,5,4,4,4,4,2,5,4,Shop,,New,,Friendly,,1,0,5,Alone,,React,,5,4,5,5,5,4,5,5,5,5,,,checked,3,4,0,4,5,4,4,3,1,2,0,4,5,0,5,0,5,3,4,32.134642,-81.243228
Kay Norsworthy,Kay,Norsworthy,Female,Matched,13,,Convention planner,Single,,,,,,,,840 Ernest W Barrett Pkwy NW #500,Kennesaw,Georgia,30144,5,5,0,4,5,1,0,4,Inclusive,,5,0,4,3,4,3,5,5,5,4,3,Movie/Play,,None,,Adventurous,,4,4,5,Listen,,React,,3,5,5,4,5,3,4,4,3,4,checked,checked,,1,3,5,1,5,3,1,3,4,3,1,3,5,5,5,3,1,4,0,34.005512,-84.57622
Keith & Christina Morrison,Keith,Morrison,Male,Interested,12,,Administrative support specialist,Married,Christina,,,,1/26/1978,44,Policy analyst,1219 USS Daniel Boone Ave Bldg 1029,Kings Bay Base,Georgia,31547,5,3,5,3,2,4,4,5,Unimportant,Unimportant,5,2,1,5,4,0,5,2,2,2,4,Home,Home,Event,Event,Friendly,Reserved,4,5,1,Advice,Advice,Reconcile,Withdraw,4,4,5,5,4,5,4,3,5,5,,checked,checked,1,4,1,3,3,1,0,0,3,1,0,5,3,5,4,1,4,3,3,30.793323,-81.569155
Keith & Tammy Lang,Tammy,Lang,Female,FSS,,,County court judge,Married,Keith,,,,9/21/1969,52,College counselor,137 White Lane,Villa Rica,Georgia,30180,5,5,4,5,5,3,0,4,Unimportant,Inclusive,5,4,1,1,1,3,4,5,3,2,5,Movie/Play,Shop,None,Nature,Shy,Friendly,3,3,3,Alone,Listen,Reconcile,Reconcile,3,4,4,4,4,5,5,5,3,5,checked,,,3,1,4,0,5,5,3,1,5,3,1,0,2,4,2,4,5,3,2,,
Kelly Sanchez,Kelly,Sanchez,Female,OOS,13,,Resort desk clerk,Single,,,,,,,,2131 Pleasant Hill Rd,Duluth,Georgia,30096,5,3,5,5,4,4,3,5,Unimportant,,5,5,0,0,4,3,3,3,4,2,5,Movie/Play,,New,,Solitary,,5,4,4,Alone,,React,,5,5,4,5,4,5,4,5,5,4,checked,,,5,5,1,4,2,3,1,2,5,3,1,1,5,5,4,5,2,1,2,33.954778,-84.134774
Ken & Cynthia Stinson,Ken,Stinson,Male,Completed Training,5,,Sewage treatment plant operator,Married,Cynthia,,,White,12/9/1963,58,Gaming machine servicer,1091 Clubhouse Ln,Greensboro,Georgia,30642,5,3,5,5,5,4,4,1,Unimportant,Unimportant,5,1,1,1,1,5,4,2,5,5,2,Read/Walk,Read/Walk,Event,Nature,Shy,Solitary,5,2,4,Advice,Listen,Reconcile,Reconcile,2,5,4,0,0,5,4,5,4,5,checked,,,4,5,2,1,2,3,1,5,2,3,4,4,5,0,5,5,2,4,1,33.425754,-83.221196
Kenneth & Robin Holbert,Kenneth,Holbert,Male,Certified,4,,Orthotics technician,Married,Robin,,,White,8/6/1976,45,Hand packer,1001 Regency Plaza Blvd,McDonough,Georgia,30253,5,4,0,2,3,4,2,3,Exclusive,Inclusive,5,4,1,3,3,3,4,1,4,1,3,Friends/Family,Read/Walk,New,New,Friendly,Adventurous,5,4,5,Advice,Listen,Process,Withdraw,3,5,4,4,5,4,0,5,5,5,,checked,,0,0,3,3,2,5,4,4,3,3,2,1,5,4,5,2,4,2,2,33.433179,-84.174714
Kenneth Sylvester,Kenneth,Sylvester,Male,Interested,4,,Woodworker,Single,,,,,,,,834 Glynn St S #228,Fayetteville,Georgia,30214,5,4,4,4,3,3,2,4,Unimportant,,5,5,5,3,5,3,2,5,5,0,0,Read/Walk,,Nature,,Reserved,,3,4,5,Listen,,Withdraw,,3,4,5,5,2,4,4,4,5,5,checked,checked,,2,0,2,4,5,1,5,4,4,0,2,5,5,3,5,5,5,4,4,33.432117,-84.455474
Keri Shackelford,Keri,Shackelford,Female,Certified,9,African American,Yoga instructor,,,,,,,,,115 SE Main St,Vidalia,Georgia,30474,5,4,4,4,3,5,3,3,Unimportant,,5,4,5,3,0,4,4,4,5,0,4,Shop,,New,,Solitary,,4,5,5,Listen,,React,,4,4,4,4,5,5,4,4,5,0,,checked,checked,1,4,1,1,4,2,5,5,2,0,2,0,5,3,5,3,4,2,3,32.218302,-82.411935
Kerry & Gwen Bibbs,Gwen,Bibbs,Female,Completed Training,14,African American,Sewing machine operator,Married,Kerry,,,,4/24/1981,40,Emergency management specialist,1425 Ellsworth Industrial Blvd NW,Atlanta,Georgia,30318,5,5,4,5,3,3,5,4,Exclusive,Exclusive,5,0,0,5,2,3,4,3,5,3,5,Shop,Movie/Play,Event,Pampered,Shy,Friendly,3,5,5,Listen,Advice,React,React,4,5,2,1,2,4,5,4,5,4,,checked,checked,5,0,5,2,4,4,1,3,3,4,4,1,5,4,4,5,4,0,2,33.79378,-84.425965
Kevin & Heather Digennaro,Kevin,Digennaro,Male,Interested,9,,Composer,Married,Heather,,,,3/14/1985,36,Timekeeper,138 Benton Powell Rd,Uvalda,Georgia,30473,5,5,5,3,5,4,4,3,Inclusive,Exclusive,5,5,2,2,2,2,1,3,1,0,3,Movie/Play,Friends/Family,None,Nature,Friendly,Adventurous,4,3,3,Advice,Listen,Reconcile,Process,5,5,5,1,4,4,5,4,4,5,checked,checked,,0,1,0,3,3,5,0,4,5,0,0,1,1,0,0,2,4,5,3,31.966494,-82.428173
Kevin & Kim Tolle,Kevin,Tolle,Male,Awaiting Training,1,,Industrial therapist,Married,Kim,,,,12/28/1962,59,Infection control nurse,28 Bill Wigington Pkwy,Jasper,Georgia,30143,5,3,3,3,4,0,2,5,Exclusive,Exclusive,5,4,2,3,5,1,5,4,4,3,3,Read/Walk,Shop,Nature,None,Solitary,Friendly,3,3,3,Alone,Listen,Reconcile,Reconcile,3,5,0,5,5,4,4,2,5,4,checked,checked,checked,1,0,5,5,4,4,3,3,3,0,5,2,5,4,5,4,4,1,1,34.46579,-84.460459
Kevin & Michelle Lee,Kevin,Lee,Male,Completed Training,5,African American,Photographic spotter,Married,Michelle,,Female,Black/African American,6/9/1983,38,Pulmonary function technologist,301 Exchange Way,Braselton,Georgia,30517,5,5,5,3,3,3,5,3,Inclusive,Unimportant,5,1,3,1,5,2,4,3,3,5,2,Friends/Family,Read/Walk,Nature,Nature,Shy,Adventurous,3,3,4,Alone,Advice,Process,Withdraw,5,5,4,5,4,5,4,5,4,4,,checked,,4,3,5,1,0,2,3,2,5,0,0,4,5,4,4,1,4,0,4,34.118744,-83.763442
Kimberly Easter,Kimberly,Easter,Female,FSS,13,,Recreation supervisor,Married,,,,,,,,1895 Jerome Avenue,Peachtree Corners,Georgia,30360,5,4,5,0,3,5,5,1,Inclusive,,5,4,2,4,3,4,5,4,4,5,5,Shop,,Event,,Adventurous,,3,5,3,Alone,,React,,4,5,4,4,4,5,5,4,5,4,,,checked,3,0,2,5,3,5,4,1,1,1,4,2,5,1,2,4,4,0,2,,
Kirby & Whitney Dietz,Kirby,Dietz,Male,Completed Training,12,,Marine oiler,Married,Whitney,,,White,6/5/1982,39,Knitting machine operator,1450 Dean Forest Road suiteA,Garden City,Georgia,31405,5,4,3,5,5,4,5,2,Unimportant,Unimportant,5,5,0,4,3,4,3,4,3,4,4,Friends/Family,Shop,New,Nature,Solitary,Reserved,4,1,5,Advice,Advice,Withdraw,Reconcile,3,5,4,4,5,5,4,3,4,4,checked,checked,checked,4,2,2,4,0,2,2,2,3,3,0,3,5,4,2,4,4,4,4,32.064643,-81.205105
Kirsten Byrd,Kirsten,Byrd,Female,Matched,12,,Staffing specialist,Single,,,,,,,,1621 GA_40,Kingsland,Georgia,31548,5,4,5,3,2,3,3,5,Unimportant,,5,5,0,3,4,4,5,2,5,3,5,Friends/Family,,Event,,Reserved,,5,2,5,Listen,,Process,,4,4,1,4,4,4,5,5,5,5,,checked,,4,1,5,2,4,3,4,5,2,0,1,4,5,5,4,5,5,3,4,30.7824,-81.630522
Krista Cruz,Krista,Cruz,Female,Interested,,,Industrial property manager,Single,,,,,,,,1449 Morris Street,Rome,Georgia,30149,5,4,4,5,3,4,5,1,Unimportant,,5,2,1,2,5,2,5,0,4,3,5,Home,,New,,Solitary,,5,5,4,Alone,,Process,,5,4,5,4,3,4,4,1,4,4,,,checked,1,0,0,3,0,2,0,1,4,1,2,0,5,0,4,5,1,5,1,,
Kristen Green,Kristen,Green,Female,Awaiting Training,11,,Quality control technician,,,,,,,,,190 S Virginia Ave,Tifton,Georgia,31794,5,5,3,5,4,3,1,3,Unimportant,,5,4,1,3,2,2,3,3,0,1,4,Shop,,Nature,,Reserved,,2,2,1,Listen,,Withdraw,,4,5,4,1,5,4,5,5,5,5,,,,0,5,4,5,1,0,5,5,3,2,3,1,5,0,0,5,1,5,5,31.453568,-83.528134
Kristen Kirby,Kristen,Kirby,Female,On Hold,13,African American,Ambulance dispatcher,Single,,,,,,,,1458 Southlake Plaza Dr,Morrow,Georgia,30260,5,5,5,5,5,3,1,3,Unimportant,,5,4,0,0,1,4,0,5,1,2,2,Shop,,Pampered,,Solitary,,4,3,3,Alone,,Withdraw,,5,5,5,4,4,5,4,5,4,2,,,checked,4,4,2,0,5,4,1,0,3,5,3,1,5,5,5,4,4,4,1,33.578949,-84.342661
Kristi Green,Kristi,Green,Female,Interested,5,,Tower controller,,,,,,,,,6161 Lake Oconee Pkwy,Greensboro,Georgia,30642,5,5,5,3,0,5,5,1,Inclusive,,5,1,0,0,3,1,4,5,1,3,3,Shop,,Pampered,,Solitary,,4,2,4,Alone,,React,,5,5,5,2,5,4,5,5,5,5,,,checked,2,1,3,5,3,3,2,0,2,1,5,0,5,5,5,4,5,2,4,33.459852,-83.243669
Kristin Daulton,Kristin,Daulton,Female,Awaiting Training,4,,Job developer,Married,,,,,,,,140 Willow Ln,McDonough,Georgia,30253,5,3,5,4,4,3,3,4,Inclusive,,5,5,1,0,5,4,5,3,4,3,5,Shop,,None,,Adventurous,,5,4,5,Listen,,Process,,2,5,5,5,4,3,5,4,5,5,,,,0,2,0,4,0,2,5,4,0,3,0,5,5,4,0,4,5,3,1,33.433429,-84.179939
Kyle & Allison Johnson,Kyle,Johnson,Male,Not Moving Forward,8,,Conductor,Married,Allison,,,,5/16/1972,49,Cable line installer,499 W Railroad St,Unadilla,Georgia,31091,5,5,5,5,4,1,4,1,Exclusive,Exclusive,5,1,4,0,2,4,5,4,2,4,0,Shop,Home,New,None,Shy,Friendly,5,5,5,Alone,Advice,Reconcile,Process,4,5,4,4,5,5,5,5,5,5,,,checked,4,0,1,2,3,3,4,2,4,5,2,4,5,5,5,5,5,5,2,32.262219,-83.735644
Lanny & Wendy Wood,Wendy,Wood,Female,Matched,13,,Machine setter,Married,Lanny,,,White,8/18/1962,59,Executive editor,4500 W Village Pl #2009,Smyrna,Georgia,30080,5,5,4,5,3,5,2,4,Exclusive,Unimportant,1,5,1,4,2,3,4,0,3,4,4,Read/Walk,Friends/Family,Event,Event,Solitary,Solitary,5,4,4,Advice,Advice,Process,React,3,4,0,5,5,0,5,5,4,5,,,,3,1,4,5,5,2,2,2,4,0,0,1,5,3,5,1,0,4,1,33.842778,-84.490556
Latoya Flores,Latoya,Flores,Female,Interested,4,,Signal and track switch repairer,,,,,,,,,1702 US_19,Thomaston,Georgia,30286,5,0,3,3,5,4,3,1,Unimportant,,5,5,4,0,2,4,4,4,4,4,4,Friends/Family,,Event,,Friendly,,3,4,4,Alone,,React,,4,5,1,4,4,4,5,4,5,5,,,,4,1,1,5,3,3,4,5,4,1,3,5,5,4,4,5,5,5,2,32.941578,-84.333724
Laura McKinney,Laura,McKinney,Female,Matched,1,,Grill cook,Single,,,,,,,,3797 Florence Street,Canton,Georgia,30114,5,4,3,4,5,4,5,2,Exclusive,,5,4,0,1,5,3,5,0,4,4,3,Read/Walk,,Event,,Adventurous,,0,5,3,Advice,,React,,4,4,5,5,4,5,4,4,4,0,,,checked,1,4,0,3,3,3,5,4,4,3,5,4,5,1,5,5,1,5,1,,
Laurie Evans,Laurie,Evans,Female,Interested,9,,Log marker,Single,,,,,,,,306 1st St,Uvalda,Georgia,30473,5,4,5,4,5,0,4,5,Unimportant,,5,3,0,4,3,0,3,3,4,3,4,Read/Walk,,Nature,,Shy,,3,5,1,Advice,,Reconcile,,3,2,4,5,0,5,5,4,1,5,,,checked,1,4,2,4,0,3,0,5,0,2,2,4,5,5,3,4,5,5,5,32.033533,-82.509162
Lavada Wright,Lavada,Wright,Female,Interested,10,,Order filler,Single,,,,,,,,105 N West St,Bainbridge,Georgia,39817,5,5,5,3,4,3,4,5,Unimportant,,5,5,2,2,4,5,5,4,2,4,5,Friends/Family,,Event,,Friendly,,3,3,3,Alone,,Reconcile,,4,5,4,5,5,5,5,5,5,4,,,,2,2,1,2,1,1,4,5,4,1,4,3,5,3,0,5,4,0,3,30.905973,-84.576691
Lawrence & Alice Buckner,Alice,Buckner,Female,Matched_Current,11,,Train dispatcher,Married,Lawrence,,,White,11/7/1958,63,,110 W 4th St,Adel,Georgia,31620,5,5,4,5,3,4,4,3,Exclusive,Exclusive,5,4,1,4,4,4,5,5,1,5,0,Shop,Movie/Play,New,New,Adventurous,Reserved,3,4,0,Advice,Listen,React,React,5,4,5,5,5,5,4,5,0,4,checked,checked,,0,1,0,5,5,0,2,5,2,3,0,1,5,3,5,5,4,1,5,31.135299,-83.436799
Lee & Margaret Smith,Lee,Smith,Male,Interested,5,,Packager,Married,Margaret,,,,4/4/1991,30,Radio and telecommunications equipment installer,217 Hiawassee Ave,Athens,Georgia,30601,5,4,4,3,3,3,3,4,Unimportant,Unimportant,5,3,1,0,5,3,3,5,3,3,3,Shop,Home,Event,Nature,Shy,Friendly,1,4,5,Advice,Listen,Process,React,4,5,1,5,5,4,4,5,4,5,checked,,checked,1,0,3,4,1,1,2,3,0,2,4,1,5,0,3,4,4,4,0,33.966704,-83.396984
Leon & Gail Peck,Leon,Peck,Male,Interested,11,,Funeral director,Married,Gail,,,,11/8/1969,52,Operations analyst,2021 GA_32,Alma,Georgia,31510,5,4,3,0,3,5,5,3,Inclusive,Unimportant,5,5,5,0,4,3,5,4,1,3,3,Shop,Home,None,None,Solitary,Shy,5,3,4,Listen,Listen,Withdraw,Process,5,4,2,5,4,4,4,5,5,2,,checked,checked,0,2,3,3,4,3,5,4,4,4,5,0,5,2,1,5,5,5,3,31.544037,-82.525179
Leonor Ager,Leonor,Ager,Female,Interested,11,,Addictions nurse,,,,,,,,,611 N Irwin Ave,Ocilla,Georgia,31774,5,4,5,2,5,3,3,0,Exclusive,,5,5,1,0,1,4,4,4,0,4,4,Friends/Family,,New,,Adventurous,,4,5,4,Advice,,React,,4,5,4,5,4,4,4,1,4,5,,,checked,5,0,2,0,5,2,3,4,2,2,4,0,5,1,5,1,4,5,2,31.602388,-83.249934
Leroy & Joanna Goodwin,Joanna,Goodwin,Female,OOS,4,,Escort interpreter,Married,Leroy,,,,4/5/1958,63,Housing relocator,1612 N Expy,Griffin,Georgia,30223,5,3,3,4,3,5,3,2,Inclusive,Inclusive,5,5,2,3,2,5,3,5,4,1,4,Movie/Play,Home,New,None,Adventurous,Friendly,5,3,3,Alone,Alone,Withdraw,Process,4,4,4,5,5,4,5,4,5,4,checked,checked,checked,2,5,3,0,2,1,2,3,1,4,2,0,5,5,4,1,4,5,3,33.27583,-84.290644
