FullName,FirstName,LastName,Street,City,State,ZipCode,Region,Birthday,Age,Race_Ethnicity,Religion,RoleofFaith,AlcoholUse,DrugUse,Smoking,JobRetentionChallenges,DayOff,FavoritePlace,Personality,SocialStyle,SadnessResponse,AngerResponse,EducationLevel,ContinuingEducation,SupportNeeds,LivingSituation,CriminalHistory,Children,Connections,BioRelationships,Sexuality,Gender,BiologicalGender,Latitude ,Logatitude
Linda Porterfield,Linda,Porterfield,105 Harmony Crossing Ste 1,Eatonton,Georgia,31024,6,9/4/1993,28,,Spiritual,Exclusive,Addicted,None,None,,Read/Walk,Event,Solitary,Introverted,Listen,Reconcile,"HS diploma in progress,College applying",,"Legal,Job,Social,Mental Health,Parenting",Couch_Hopping,None,None,,Difficult,Homosexual,Female,Other,33.3264,-83.3878
Linda Powell,Linda,Powell,3305 Acworth Oaks Dr,Acworth,Georgia,30101,13,2/25/1993,28,White,Islam,Inclusive,Irresponsibly,Occasionally,"Occasional marijuana,Occasional cigarettes",,Movie/Play,Event,Shy,Introverted,Advice,Reconcile,GED completed,,Resources,Independent,None,None,,Important,Bisexual,Other,Male,34.0628,-84.67
Linda Ramirez,Linda,Ramirez,4880 Lawrenceville Hwy,Tucker,Georgia,30084,14,,,,,,,,,,,,,,,,,,,,,,,,,,Female,33.8537,-84.2146
Lisa Petterson,Lisa,Petterson,1806 Washington Rd,Thomson,Georgia,30824,7,,,,,,,,,,,,,,,,,,,,,,,,,,Female,33.4672,-82.4994
Lois Hickman,Lois,Hickman,249 Frontage Rd,Hartwell,Georgia,30643,2,10/7/1992,29,White,Hinduism,Unimportant,Addicted,Occasionally,"Occasional marijuana,Regular cigarettes,Occasional vape",,Read/Walk,None,Adventurous,Both,Advice,React,HS diploma completed,,"Parenting,Budgeting,Holidays",College,None,None,,Difficult,Heterosexual,Female,Female,34.3527,-82.9331
Lucas Hudson,Lucas,Hudson,7105 Avalon Blvd,Alpharetta,Georgia,30009,14,1/14/1993,29,Black/African American,Islam,Inclusive,Responsibly,None,"Occasional marijuana,Occasional cigarettes,Occasional vape",checked,Shop,None,Friendly,Both,Listen,Withdraw,GED completed,,"Resources,Parenting,Legal",Homeless,"Jail,Arrested",None,,Difficult,Heterosexual,Other,Female,34.0733,-84.2811
Lucille Rodriguez,Lucille,Rodriguez,477 Rome St,Carrollton,Georgia,30117,4,7/15/1993,28,,Buddhism,Unimportant,Responsibly,Regularly,"Occasional marijuana,Occasional cigarettes,Regular vape",,Friends/Family,Pampered,Solitary,Extraverted,Self_Reliant,Reconcile,"HS diploma in progress,Vocational/trade school certified",,"Parenting,Budgeting,Medical,Mental Health",Couch_Hopping,None,None,,None,Homosexual,Other,Male,33.5808,-85.0767
Lucy Quigley,Lucy,Quigley,2560 Whitesville Rd,LaGrange,Georgia,30240,4,10/10/1992,29,Black/African American,Islam,Unimportant,Irresponsibly,Occasionally,None,checked,Shop,Event,Friendly,Introverted,Advice,Process,"HS diploma in progress,Vocational/trade school certified",,"Budgeting,Legal,Resources,Job",Homeless,"Current Probation,Jail",None,,Difficult,Heterosexual,Female,Female,33.0367,-85.0319
Lupe Martin,Lupe,Martin,591 Battlefield Pkwy,Fort Oglethorpe,Georgia,30742,1,6/3/1993,28,Black/African American,Buddhism,Unimportant,Occasionally,Occasionally,Occasional marijuana,,Home,None,Shy,Extraverted,Listen,React,"GED in progress,Vocational/trade school applying",,Mental Health,Independent,Current Probation,None,,Difficult,Heterosexual,Female,Male,34.9456,-85.2456
Lydia Hale,Lydia,Hale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,,
Lydia Tann,Lydia,Tann,5796 Fairburn Rd,Douglasville,Georgia,30134,3,12/28/1992,29,,None,Inclusive,Responsibly,None,Occasional marijuana,,Friends/Family,None,Adventurous,Both,Advice,Withdraw,GED in progress,,"Medical,Parenting,Mental Health,Social,Job",College,None,"Caring for multiple,1 in kincare,Multiple in welfare,Pregnant",,Important,Homosexual,Male,Other,33.7522,-84.7407
Lynn Tejeda,Lynn,Tejeda,1133 Scenic Hwy S,Lawrenceville,Georgia,30045,13,4/24/1993,28,,Spiritual,Unimportant,Responsibly,None,None,checked,Movie/Play,Nature,Shy,Introverted,Advice,React,"GED completed,College applying",,"Job,Legal,Parenting,Holidays,Budgeting",College,None,None,,None,Heterosexual,Male,Other,33.9531,-83.9925
Madge Johnson,Madge,Johnson,3333 Buford Dr VA03,Buford,Georgia,30519,13,8/3/1993,28,,Other,Exclusive,Addicted,Regularly,"Regular marijuana,Regular cigarettes",checked,Movie/Play,Nature,Adventurous,Extraverted,Advice,Process,"GED completed,College degree",,"Resources,Medical,Budgeting",Independent,None,None,,Important,Homosexual,Female,Male,34.1169,-83.9986
Marc Wilson,Marc,Wilson,3286 Inner Perimeter Rd,Valdosta,Georgia,31602,11,,,,,,,,,,,,,,,,,,,,,,,,,,Male,30.8467,-83.2831
Marcie Rodriguez,Marcie,Rodriguez,3651 Dawson Forest Rd E,Dawsonville,Georgia,30534,2,6/19/1993,28,,Hinduism,Inclusive,Occasionally,Occasionally,None,,Shop,Nature,Solitary,Extraverted,Advice,Process,HS diploma in progress,,"Mental Health,Holidays,Budgeting,Medical,Social,Legal",College,Arrested,"Caring for multiple,1 in kincare,Multiple in welfare",,Important,Heterosexual,Male,Other,34.4167,-84.1167
Margaret Goldenberg,Margaret,Goldenberg,7794 Ella Ln # A,Fairburn,Georgia,30213,14,6/18/1993,28,,Judaism,Exclusive,Occasionally,Occasionally,None,checked,Friends/Family,Pampered,Solitary,Both,Self_Reliant,Process,"GED completed,Vocational/trade school certified",,"Social,Mental Health,Resources,Parenting",Couch_Hopping,None,None,,Important,Heterosexual,Female,Other,33.5625,-84.5814
Margaret Robinson,Margaret,Robinson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,,
Maria Walton,Maria,Walton,1339 Upper Big Springs Rd,LaGrange,Georgia,30241,4,12/14/1992,29,Unknown,Islam,Unimportant,Responsibly,None,Regular marijuana,,Movie/Play,Pampered,Friendly,Extraverted,Listen,Reconcile,GED in progress,,Mental Health,Homeless,None,None,,None,Homosexual,Male,Male,33.0367,-85.0319
Maria Zeman,Maria,Zeman,13200 W Cleveland St,Nahunta,Georgia,31553,11,,,,,,,,,,,,,,,,,,,,,,,,,,Female,31.2044,-81.9822
Marie Klaus,Marie,Klaus,4040 Gateway Blvd,Grovetown,Georgia,30813,7,11/1/1992,29,,Buddhism,Unimportant,Addicted,Regularly,"Occasional marijuana,Regular cigarettes,Occasional vape",,Read/Walk,Nature,Friendly,Introverted,Listen,Process,GED completed,,"Resources,Parenting,Medical,Job,Social,Legal",College,None,Caring for multiple,,Important,Bisexual,Female,Male,33.4494,-82.1969
Marie Muncy,Marie,Muncy,2505 Lyons Center Rd,Vidalia,Georgia,30474,9,,,,,,,,,,,,,,,,,,,,,,,,,,Female,32.2153,-82.41
Marilyn Daniel,Marilyn,Daniel,104 Washington St NW,Gainesville,Georgia,30501,2,1/8/1993,29,Black/African American,Buddhism,Inclusive,Occasionally,Occasionally,None,checked,Movie/Play,Event,Friendly,Both,Self_Reliant,Reconcile,"HS diploma in progress,Vocational/trade school certified",,"Parenting,Resources,Social,Mental Health",Program,None,"Caring for multiple,Multiple in kincare",,Important,Bisexual,Male,Female,34.3044,-83.8339
Mark Cullum,Mark,Cullum,3885 Mundy Mill Rd Suite 101,Oakwood,Georgia,30566,2,,,,,,,,,,,,,,,,,,,,,,,,,,Male,34.2312,-83.8701
Mark Haas,Mark,Haas,604 W 4th St,Adel,Georgia,31620,11,7/25/1993,28,White,Hinduism,Inclusive,None,Regularly,None,checked,Friends/Family,Event,Friendly,Extraverted,Advice,React,HS diploma in progress,,"Medical,Parenting",Friend/Family,Arrested,None,,Important,Bisexual,Female,Other,31.1383,-83.4258
Mark Maurer,Mark,Maurer,11175 Tara Blvd,Hampton,Georgia,30228,4,9/27/1992,29,,None,Unimportant,Responsibly,Regularly,None,checked,Shop,New,Solitary,Both,Listen,Withdraw,"HS diploma in progress,College attending",,"Parenting,Holidays,Resources",Couch_Hopping,None,None,,None,Bisexual,Other,Other,33.3834,-84.2833
Mark Morris,Mark,Morris,1311 Johnson Ferry Rd #504,Marietta,Georgia,30068,13,5/2/1993,28,,Hinduism,Unimportant,Responsibly,Addicted,None,,Friends/Family,None,Friendly,Introverted,Advice,Reconcile,GED completed,,"Medical,Resources,Job,Budgeting,Legal",Independent,"Jail,Arrested","Caring for multiple,1 in kincare",,Difficult,Homosexual,Other,Other,33.9523,-84.5491
Mark Thomas,Mark,Thomas,930 Howell Mill Rd NW,Atlanta,Georgia,30318,14,11/27/1992,29,White,Islam,Inclusive,Occasionally,Occasionally,"Occasional marijuana,Regular cigarettes,Occasional vape",,Home,New,Shy,Extraverted,Advice,Process,None,checked,Resources,Friend/Family,None,None,,None,Homosexual,Male,Other,33.7485,-84.3915
Martin Newcomer,Martin,Newcomer,520 N Main St,Hiawassee,Georgia,30546,2,5/30/1993,28,,Christianity,Unimportant,Occasionally,Addicted,None,checked,Shop,New,Reserved,Both,Self_Reliant,Reconcile,"HS diploma in progress,Vocational/trade school attending",,"Mental Health,Legal,Medical,Resources",Friend/Family,None,None,,Important,Heterosexual,Male,Female,34.9494,-83.755
Mary Foster,Mary,Foster,514 HWY 80 W,Garden City,Georgia,31408,12,6/13/1993,28,,Other,Inclusive,Irresponsibly,Occasionally,"Regular marijuana,Regular cigarettes",,Movie/Play,Nature,Adventurous,Both,Advice,React,"GED in progress,College degree",,"Social,Legal,Holidays",Friend/Family,Arrested,"Caring for 1,Multiple in kincare,1 in welfare",,Difficult,Heterosexual,Female,Male,32.1003,-81.165
Mary Gibson,Mary,Gibson,789 GA_36 Ste B,Jackson,Georgia,30233,4,3/12/1993,28,Unknown,Spiritual,Unimportant,Addicted,Addicted,None,,Movie/Play,Event,Adventurous,Introverted,Listen,Process,GED in progress,,"Legal,Resources,Parenting,Social,Holidays,Job,Medical",Program,None,None,,Important,Bisexual,Female,Other,33.2936,-83.9625
Mary Preston,Mary,Preston,2840 Atlanta Rd SE,Smyrna,Georgia,30080,13,,,,,,,,,,,,,,,,,,,,,,,,,,Female,33.8802,-84.5126
Mary Roberts,Mary,Roberts,1018 S Pierce St,Alma,Georgia,31510,11,7/8/1993,28,Black/African American,Hinduism,Inclusive,None,Regularly,None,,Read/Walk,Event,Adventurous,Introverted,Advice,Withdraw,"GED in progress,Vocational/trade school certified",,"Job,Legal,Parenting",Independent,None,None,,Difficult,Heterosexual,Other,Female,31.5417,-82.4667
Mary Urban,Mary,Urban,1010 Pointe S Pkwy,Jonesboro,Georgia,30238,13,3/3/1993,28,Unknown,Other,Inclusive,Irresponsibly,Regularly,None,,Movie/Play,Nature,Shy,Extraverted,Listen,Reconcile,"HS diploma in progress,College applying",,"Social,Resources",Program,"Current Probation,Jail",None,,Important,Bisexual,Male,Male,33.5244,-84.3542
Mary White,Mary,White,295 N Main St,Ellijay,Georgia,30540,1,1/15/1993,29,,Islam,Inclusive,Responsibly,Occasionally,None,,Movie/Play,Event,Reserved,Both,Advice,React,"HS diploma in progress,Vocational/trade school attending",,"Holidays,Social,Job,Legal,Budgeting",Couch_Hopping,"Jail,Current Probation",None,,Difficult,Homosexual,Other,Female,34.6947,-84.4836
Matt Edwards,Matt,Edwards,4705 Woodstock Rd,Roswell,Georgia,30075,14,,,,,,,,,,,,,,,,,,,,,,,,,,Male,34.0339,-84.3442
Matthew Moe,Matthew,Moe,151 N Jefferson St NE,Milledgeville,Georgia,31061,6,,,,,,,,,,,,,,,,,,,,,,,,,,Male,33.0878,-83.2333
Matthew Scruggs,Matthew,Scruggs,650 N Expy,Griffin,Georgia,30223,4,10/19/1992,29,Hispanic/Latino (non_white),Islam,Inclusive,Occasionally,Occasionally,Regular marijuana,,Read/Walk,None,Friendly,Extraverted,Advice,Reconcile,"GED in progress,Vocational/trade school attending",,"Parenting,Social,Medical,Mental Health,Legal,Holidays",Program,None,None,,None,Homosexual,Male,Other,33.2444,-84.2639
May Grieco,May,Grieco,9924 Davis St,Braselton,Georgia,30517,5,4/24/1993,28,Mixed Race,Christianity,Inclusive,Occasionally,None,None,,Home,Event,Friendly,Extraverted,Listen,Process,"HS diploma completed,Vocational/trade school attending",,Holidays,Couch_Hopping,Current Probation,None,,Difficult,Bisexual,Male,Male,34.107,-83.7624
Megan Mason,Megan,Mason,14 W 11th St,Columbus,Georgia,31901,8,9/27/1992,29,Black/African American,Hinduism,Exclusive,None,Addicted,None,,Movie/Play,New,Reserved,Extraverted,Listen,Process,"GED in progress,College degree",,"Mental Health,Holidays,Medical,Resources,Job",Program,"Jail,Arrested",None,,Important,Bisexual,Female,Other,32.4922,-84.9403
Mel Toney,Mel,Toney,120 General Lee Dr,Ringgold,Georgia,30736,1,,,,,,,,,,,,,,,,,,,,,,,,,,Male,34.9157,-85.1094
Melanie Sanders,Melanie,Sanders,102 Adamson Square,Carrollton,Georgia,30117,4,2/10/1993,28,,Spiritual,Exclusive,Responsibly,Addicted,None,,Friends/Family,Event,Reserved,Both,Listen,React,"GED in progress,College attending",,"Resources,Mental Health",Friend/Family,None,None,,Important,Heterosexual,Female,Female,33.5808,-85.0767
Melvina Rosol,Melvina,Rosol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,,
Michael Bannerman,Michael,Bannerman,3451 Cobb Pkwy NW #9,Acworth,Georgia,30101,13,3/21/1993,28,White,Islam,Unimportant,None,None,"Regular marijuana,Occasional cigarettes,Regular vape",checked,Home,Event,Friendly,Introverted,Advice,Withdraw,"GED completed,Vocational/trade school certified",,"Parenting,Job",Independent,None,Caring for multiple,,Important,Bisexual,Male,Other,34.0628,-84.67
Michael Berkley,Michael,Berkley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,
Michael Carroll,Michael,Carroll,334 W Cherry St,Jesup,Georgia,31545,9,5/1/1993,28,White,Judaism,Exclusive,Irresponsibly,Addicted,"Regular marijuana,Occasional cigarettes",checked,Read/Walk,Event,Friendly,Extraverted,Listen,Reconcile,HS diploma completed,,"Legal,Job,Holidays",Couch_Hopping,"Arrested,Jail",None,,Important,Homosexual,Female,Male,31.6019,-81.885
Michael Dellinger,Michael,Dellinger,94 Jeff Davis Rd,Thomaston,Georgia,30286,4,,,,,,,,,,,,,,,,,,,,,,,,,,Male,32.8872,-84.3262
Michael Fagundes,Michael,Fagundes,2115 Smith Ave,Thomasville,Georgia,31792,10,,,,,,,,,,,,,,,,,,,,,,,,,,Male,30.8364,-83.9783
Michael Hodge,Michael,Hodge,4287 GA_20,Buford,Georgia,30518,13,10/2/1992,29,,Other,Exclusive,Addicted,Occasionally,None,,Friends/Family,Nature,Shy,Extraverted,Advice,Process,"HS diploma completed,Vocational/trade school applying",,"Mental Health,Budgeting,Social",Couch_Hopping,None,None,,Important,Homosexual,Male,Female,34.1169,-83.9986
Michael Hurst,Michael,Hurst,5592 Old Dixie Hwy,Forest Park,Georgia,30297,13,2/18/1993,28,,Other,Unimportant,Occasionally,Addicted,None,,Shop,New,Adventurous,Extraverted,Self_Reliant,Reconcile,"GED completed,College degree",,"Parenting,Job,Social",Couch_Hopping,"Current Probation,Jail",None,,None,Bisexual,Male,Female,33.6197,-84.3658
Michael Muniz,Michael,Muniz,5635 Jimmy Carter Blvd,Norcross,Georgia,30071,13,,,,,,,,,,,,,,,,,,,,,,,,,,Male,33.9419,-84.2122
Michael Sosa,Michael,Sosa,47 Mountainside Village Pkwy,Jasper,Georgia,30143,1,12/6/1992,29,Black/African American,None,Inclusive,Addicted,None,"Occasional marijuana,Regular cigarettes",,Home,None,Reserved,Introverted,Advice,Withdraw,None,checked,"Legal,Parenting,Job,Medical",Program,None,None,,Difficult,Heterosexual,Female,Female,34.4692,-84.4342
Micheal Moriarty,Micheal,Moriarty,1010 Hospitality Dr,Greensboro,Georgia,30642,5,10/27/1992,29,,Hinduism,Unimportant,Addicted,Regularly,None,checked,Home,Event,Shy,Introverted,Self_Reliant,Process,GED in progress,,"Social,Medical,Parenting,Holidays,Mental Health,Legal,Resources",Program,None,Caring for 1,,Important,Bisexual,Female,Other,33.5759,-83.1826
Michele Brown,Michele,Brown,3300 Cobb Pkwy SE Unit 208,Atlanta,Georgia,30339,13,5/1/1993,28,,Hinduism,Exclusive,Occasionally,Occasionally,None,checked,Shop,None,Solitary,Introverted,Self_Reliant,Reconcile,GED completed,,"Mental Health,Resources",Couch_Hopping,None,Caring for 1,,Difficult,Heterosexual,Female,Female,33.7485,-84.3915
Michele Lambert,Michele,Lambert,4802 Augusta Rd,Garden City,Georgia,31408,12,4/14/1993,28,White,Buddhism,Inclusive,Addicted,None,None,,Home,Nature,Shy,Both,Self_Reliant,Process,HS diploma completed,,"Budgeting,Legal,Medical",Independent,None,None,,Difficult,Heterosexual,Other,Other,32.1003,-81.165
Michele Thomas,Michele,Thomas,1428 Sam Nunn Blvd,Perry,Georgia,31069,6,,,,,,,,,,,,,,,,,,,,,,,,,,Female,32.4594,-83.7325
Michelle Lofton,Michelle,Lofton,812 Oak St,Eatonton,Georgia,31024,6,9/23/1992,29,,Other,Inclusive,Responsibly,Occasionally,"Occasional marijuana,Occasional cigarettes,Occasional vape",,Movie/Play,None,Solitary,Extraverted,Self_Reliant,Process,"HS diploma in progress,Vocational/trade school certified",,"Resources,Mental Health",Program,None,None,,Important,Bisexual,Male,Female,33.3264,-83.3878
Mike Joyner,Mike,Joyner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,
Mildred Duncan,Mildred,Duncan,415 Bullsboro Dr,Newnan,Georgia,30263,4,,,,,,,,,,,,,,,,,,,,,,,,,,Female,33.3764,-84.7886
Mildred Mendoza,Mildred,Mendoza,1667 Atlanta Hwy NW,Auburn,Georgia,30011,5,7/3/1993,28,Black/African American,Spiritual,Unimportant,None,Addicted,None,checked,Movie/Play,Nature,Reserved,Extraverted,Advice,Process,None,,"Social,Medical,Job",Homeless,None,None,,None,Homosexual,Female,Other,34.0167,-83.8319
Mildred Pepin,Mildred,Pepin,1028 Benson St,Hartwell,Georgia,30643,2,6/3/1993,28,Unknown,Islam,Unimportant,Addicted,Regularly,None,,Read/Walk,None,Solitary,Extraverted,Advice,Reconcile,"GED in progress,Vocational/trade school certified",,"Mental Health,Social,Legal,Job",Couch_Hopping,None,None,,None,Bisexual,Male,Female,34.3527,-82.9331
Miles Jenkins,Miles,Jenkins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,
Misty Leibowitz,Misty,Leibowitz,217 US_80,Pooler,Georgia,31322,12,,,,,,,,,,,,,,,,,,,,,,,,,,Female,32.1047,-81.2533
Monica Dibella,Monica,Dibella,10089 GA_88,Avera,Georgia,30803,7,3/9/1993,28,Black/African American,Islam,Inclusive,Occasionally,Addicted,None,checked,Friends/Family,New,Reserved,Introverted,Advice,Reconcile,"GED in progress,College degree",,"Mental Health,Medical,Holidays,Job,Resources,Legal",Homeless,None,None,,Important,Heterosexual,Male,Male,33.194,-82.5275
Mose Buck,Mose,Buck,3148 Glenwood Rd,Decatur,Georgia,30032,14,5/19/1993,28,,Buddhism,Exclusive,None,None,None,checked,Home,New,Shy,Both,Self_Reliant,React,GED completed,,Legal,Homeless,None,"Caring for 1,1 in kincare,Multiple in welfare",,Important,Bisexual,Other,Male,33.7714,-84.2978
Murray Harwood,Murray,Harwood,306 E 2nd St,Vidalia,Georgia,30474,9,,,,,,,,,,,,,,,,,,,,,,,,,,Male,32.2153,-82.41
Myron Backman,Myron,Backman,3230 Steve Reynolds Blvd #108,Duluth,Georgia,30096,13,7/6/1993,28,,Christianity,Exclusive,Irresponsibly,Occasionally,"Regular marijuana,Occasional cigarettes",checked,Friends/Family,None,Shy,Both,Listen,Process,GED in progress,,"Holidays,Parenting,Legal,Medical",Independent,None,"Caring for 1,1 in kincare,Multiple in welfare",,Difficult,Bisexual,Male,Other,34.0031,-84.1456
Nancy Eaves,Nancy,Eaves,2204 Chattanooga Rd,Dalton,Georgia,30720,1,6/15/1993,28,,Judaism,Unimportant,Irresponsibly,Regularly,"Occasional marijuana,Regular cigarettes,Regular vape",checked,Read/Walk,Event,Adventurous,Extraverted,Self_Reliant,Process,HS diploma in progress,,"Parenting,Budgeting,Mental Health,Legal",Program,None,None,,Important,Heterosexual,Other,Female,34.7715,-84.9718
Natalie Gordon,Natalie,Gordon,1505 W Fourth St,Adel,Georgia,31620,11,12/1/1992,29,,Christianity,Unimportant,None,None,"Regular marijuana,Occasional cigarettes,Occasional vape",,Home,New,Solitary,Extraverted,Advice,Process,GED completed,,"Social,Resources,Legal",Program,None,None,,None,Homosexual,Female,Female,31.1383,-83.4258
Noelia Phelps,Noelia,Phelps,1175 Franklin Rd,Marietta,Georgia,30067,13,1/28/1993,29,,Hinduism,Inclusive,Responsibly,Addicted,None,checked,Movie/Play,Event,Adventurous,Introverted,Advice,Reconcile,"HS diploma completed,Vocational/trade school applying",,"Holidays,Budgeting,Parenting",Independent,None,None,,Difficult,Homosexual,Other,Male,33.9523,-84.5491
Olivia Wood,Olivia,Wood,6600 GA_85,Riverdale,Georgia,30274,13,,,,,,,,,,,,,,,,,,,,,,,,,,Female,33.5726,-84.4125
Pamela Cleghorn,Pamela,Cleghorn,540 Atlanta Hwy,Loganville,Georgia,30052,5,4/15/1993,28,,Judaism,Unimportant,None,None,None,,Movie/Play,New,Reserved,Introverted,Self_Reliant,Process,"GED in progress,Vocational/trade school certified",,"Job,Mental Health",College,None,None,,Important,Heterosexual,Female,Female,33.8389,-83.8981
Patricia Eady,Patricia,Eady,5077 Jimmy Lee Smith Pkwy #101,Hiram,Georgia,30141,3,1/19/1993,29,,Christianity,Exclusive,Addicted,Regularly,None,checked,Home,Nature,Solitary,Extraverted,Listen,Process,"HS diploma in progress,Vocational/trade school attending",,"Mental Health,Medical,Resources,Social,Parenting",Independent,None,"Caring for 1,Multiple in kincare,1 in welfare,Pregnant",,None,Heterosexual,Male,Other,33.8778,-84.7615
Patricia Hurt,Patricia,Hurt,116 N Belair Rd,Evans,Georgia,30809,7,9/7/1993,28,,Other,Exclusive,Addicted,Regularly,"Regular marijuana,Occasional cigarettes",,Shop,None,Shy,Both,Self_Reliant,React,HS diploma in progress,,"Resources,Holidays",College,None,None,,Difficult,Bisexual,Male,Female,33.5334,-82.1303
Patrick Conklin,Patrick,Conklin,1629 Tift Ave N,Tifton,Georgia,31794,11,,,,,,,,,,,,,,,,,,,,,,,,,,Male,31.4633,-83.51
Patrick Robson,Patrick,Robson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,
Paul Harriman,Paul,Harriman,3626 Mundy Mill Rd,Gainesville,Georgia,30504,2,8/8/1993,28,White,Judaism,Inclusive,Addicted,Occasionally,Occasional marijuana,checked,Shop,Nature,Solitary,Both,Self_Reliant,Withdraw,HS diploma in progress,,"Parenting,Job,Holidays,Budgeting,Resources,Mental Health",Independent,None,Caring for 1,,Important,Bisexual,Other,Male,34.3044,-83.8339
Pedro Armstrong,Pedro,Armstrong,85 Commerce Dr,Villa Rica,Georgia,30180,4,,,,,,,,,,,,,,,,,,,,,,,,,,Male,33.7319,-84.92
Philip McDowell,Philip,McDowell,4790 Jonesboro Rd,Union City,Georgia,30291,14,,,,,,,,,,,,,,,,,,,,,,,,,,Male,33.5783,-84.5433
Phillip Stinson,Phillip,Stinson,4006 Lavista Rd,Tucker,Georgia,30084,14,,,,,,,,,,,,,,,,,,,,,,,,,,Male,33.8537,-84.2146
Phyllis Cardenas,Phyllis,Cardenas,790 Glynn St S ste a,Fayetteville,Georgia,30214,4,11/16/1992,29,,None,Unimportant,Addicted,Addicted,None,,Shop,None,Reserved,Both,Advice,React,GED in progress,,"Legal,Social,Resources,Job,Mental Health,Parenting",Couch_Hopping,None,None,,None,Bisexual,Other,Male,33.4478,-84.4617
Preston Gray,Preston,Gray,603 Short E St,Thomaston,Georgia,30286,4,,,,,,,,,,,,,,,,,,,,,,,,,,Male,32.8872,-84.3262
Rachael Fulcher,Rachael,Fulcher,103 Nora Blvd,Adrian,Georgia,31002,9,3/3/1993,28,,Judaism,Exclusive,Occasionally,Addicted,"Occasional marijuana,Occasional cigarettes",checked,Read/Walk,New,Adventurous,Both,Listen,Withdraw,"HS diploma in progress,Vocational/trade school certified",,"Medical,Budgeting,Social",Program,None,None,,Difficult,Bisexual,Male,Other,32.5313,-82.5943
Rafael Simon,Rafael,Simon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,
Ralph Cooper,Ralph,Cooper,5140 S Cobb Dr SE,Smyrna,Georgia,30082,13,,,,,,,,,,,,,,,,,,,,,,,,,,Male,33.8802,-84.5126
Randall Vanhoose,Randall,Vanhoose,240 Peachtree St,Atlanta,Georgia,30303,14,4/14/1993,28,Black/African American,Other,Unimportant,Addicted,None,None,,Movie/Play,Pampered,Shy,Introverted,Listen,Process,HS diploma in progress,,"Medical,Resources,Legal,Social,Budgeting,Parenting",Couch_Hopping,None,None,,Important,Bisexual,Other,Male,33.7485,-84.3915
Randy Miles,Randy,Miles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,
Ray Calvin,Ray,Calvin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,,
Ray Jack,Ray,Jack,1204 Crawford St,Americus,Georgia,31709,8,11/2/1992,29,,Spiritual,Inclusive,Irresponsibly,Addicted,None,,Read/Walk,Nature,Solitary,Extraverted,Listen,Process,HS diploma completed,,Holidays,Program,None,None,,Important,Heterosexual,Male,Other,32.0753,-84.2267
Reba Morrow,Reba,Morrow,440 Pleasant Hill Rd,Lilburn,Georgia,30047,13,2/8/1993,28,,None,Exclusive,Occasionally,Regularly,None,,Movie/Play,Nature,Reserved,Extraverted,Listen,Withdraw,GED completed,,Budgeting,Friend/Family,None,None,,Difficult,Homosexual,Other,Female,33.8889,-84.1408
Reginald Wallace,Reginald,Wallace,1654 Atlanta Hwy NW Ste 110,Auburn,Georgia,30011,5,1/5/1993,29,,Hinduism,Inclusive,Occasionally,Addicted,"Occasional marijuana,Regular cigarettes,Regular vape",,Friends/Family,New,Solitary,Both,Listen,Process,"HS diploma in progress,Vocational/trade school attending",,"Parenting,Budgeting",Homeless,"Jail,Current Probation",None,,Important,Heterosexual,Male,Male,34.0167,-83.8319
Reuben Nissen,Reuben,Nissen,3050 Five Forks Trickum Rd SW Ste 110,Lilburn,Georgia,30047,13,6/28/1993,28,,Buddhism,Exclusive,None,Regularly,"Regular marijuana,Occasional cigarettes",checked,Movie/Play,Pampered,Solitary,Introverted,Listen,Reconcile,"GED completed,College applying",,"Budgeting,Social,Medical,Parenting,Legal",Friend/Family,None,None,,Difficult,Heterosexual,Male,Female,33.8889,-84.1408
Richard Carter,Richard,Carter,2542 Battlefield Pkwy,Fort Oglethorpe,Georgia,30742,1,3/16/1993,28,White,Buddhism,Exclusive,Responsibly,Addicted,None,,Read/Walk,Nature,Reserved,Introverted,Self_Reliant,Withdraw,"GED in progress,Vocational/trade school attending",,"Medical,Mental Health,Job",Program,None,None,,None,Homosexual,Female,Female,34.9456,-85.2456
Richard Jack,Richard,Jack,2450 Perry Lane Rd,Brunswick,Georgia,31525,12,10/17/1992,29,,Christianity,Exclusive,Irresponsibly,Addicted,None,,Shop,Event,Reserved,Introverted,Advice,Reconcile,None,checked,"Social,Mental Health,Resources",Homeless,None,None,,Important,Homosexual,Other,Male,31.169,-81.5025
Richard Mayorga,Richard,Mayorga,5074 US_78,Stone Mountain,Georgia,30087,14,,,,,,,,,,,,,,,,,,,,,,,,,,Male,33.8053,-84.1714
